Pop_ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Low	926	84.2251	28.76631	0.02379	0.85027	0.01701	0.00058	0.19818	0.01955	0.00062	0.80182	0.01955	0.00062	0.22061	0.02296	0.00067	0.77939	0.02296	0.00067	0.22193	0.02324	0.00068	0.09532	0.0352	0.02379
Upper	861	102.07035	39.34913	0.03663	0.85529	0.01688	0.00076	0.1975	0.02108	0.00085	0.8025	0.02108	0.00085	0.21378	0.02371	0.0009	0.78622	0.02371	0.0009	0.21483	0.02394	0.0009	0.06878	0.02655	0.03663
